time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/explained_variance,rollout/ep_rew_wrapped_mean,train/value_loss,train/n_updates,train/clip_range,train/clip_fraction,train/entropy_loss,train/std,train/loss
1646592,668,2464,1.0,1,-1.0,-0.01150181650518789,0.0003,0.017594531,-8.30595874786377,0.05343530606478453,2.1223370378168718e-06,660,0.2,0.23792724609375,-1.9151331005307535,0.40466269850730896,-0.014059919863939285
1671168,645,2587,1.0,1,-1.0,-0.03020702668048519,0.0003,0.026875263,-0.9365293979644775,0.050018934421241286,2.4866344496721206e-06,670,0.2,0.31201578776041666,-1.7974668937735259,0.3919740319252014,-0.0506984107196331
1695744,640,2649,1.0,1,-1.0,-0.018962062386829834,0.0003,0.022699023,-1.3747849464416504,0.04624819897115231,2.087906626935254e-06,680,0.2,0.26279296875,-1.6825024950007597,0.3825894594192505,-0.023677164688706398
1720320,697,2467,1.0,1,-1.0,-0.023293930000969947,0.0003,0.030978756,-0.13657283782958984,0.04347270704805851,2.1429947357339457e-06,690,0.2,0.29296875,-1.566608691494912,0.37171652913093567,-0.010878273285925388
1744896,739,2360,1.0,1,-1.0,-0.005425160293452791,0.0003,0.015158036,-2.5067217350006104,0.039849596284329894,1.7770752675181727e-06,700,0.2,0.18272298177083332,-1.478752867380778,0.36478832364082336,-0.01735823228955269
1769472,724,2442,1.0,1,-1.0,-0.004296119829814415,0.0003,0.0155664245,-2.2104063034057617,0.037121274545788764,2.9724019374455235e-06,710,0.2,0.20631917317708334,-1.4166468065232038,0.36105161905288696,-0.008307719603180885
1794048,729,2458,1.0,1,-1.0,0.00015673428254861694,0.0003,0.011393894,-4.711036682128906,0.03448932785540819,1.928425779301746e-06,720,0.2,0.15618896484375,-1.3738759826868772,0.3580549657344818,0.007761666551232338
1818624,729,2492,1.0,1,-1.0,0.00011038438206014689,0.0003,0.013747704,-2.5473618507385254,0.03182388547807932,3.0758060782213696e-06,730,0.2,0.19059244791666666,-1.3289304283447563,0.3556970953941345,0.0058062258176505566
1843200,725,2541,1.0,1,-1.0,0.0015181060231649706,0.0003,0.011048925,-5.367870807647705,0.029579407535493374,3.134443791627528e-06,740,0.2,0.14058837890625,-1.3162222818161051,0.3560306131839752,0.019127683714032173
1867776,724,2576,1.0,1,-1.0,0.002759004167455714,0.0003,0.011649251,-3.9826207160949707,0.027414802368730305,1.820241143335455e-06,750,0.2,0.15347086588541667,-1.3191066857737799,0.35806572437286377,0.020060548558831215
1892352,718,2634,1.0,1,-1.0,0.002481562212657688,0.0003,0.009389941,-7.32271671295166,0.025332363992929458,1.3842396841425482e-06,760,0.2,0.12684326171875,-1.2927512438346942,0.35545265674591064,-0.00935464259237051
1916928,739,2593,1.0,1,-1.0,0.0032475527774901516,0.0003,0.008883311,-9.715846061706543,0.023682294115424156,1.7541157568190523e-06,770,0.2,0.11378987630208333,-1.2958837840085229,0.3558119535446167,0.009061632677912712
1941504,738,2629,1.0,1,-1.0,-0.0006035611454232519,0.0003,0.01356217,-0.9267621040344238,0.022199370209127666,1.5552705023726594e-06,780,0.2,0.17983805338541667,-1.2753497549022237,0.35530251264572144,-0.00783802941441536
1966080,800,2457,1.0,1,-1.0,0.0035855078532525415,0.0003,0.008954641,-13.282153129577637,0.020793728772550823,1.2104877674270116e-06,790,0.2,0.105224609375,-1.2742987521924078,0.3571630120277405,-0.007145728450268507
1990656,784,2538,1.0,1,-1.0,0.0016413746070611523,0.0003,0.010117063,-3.2012953758239746,0.0196118538454175,1.2847588098099938e-05,800,0.2,0.13059488932291666,-1.3058362656583389,0.36024874448776245,0.008154059760272503
2015232,802,2510,1.0,1,-1.0,0.00020993179944828929,0.0003,0.011722206,-1.738114595413208,0.018456910364329816,1.4901271783681244e-06,810,0.2,0.15324300130208332,-1.3065833480097353,0.3605741262435913,-0.031960535794496536
2039808,784,2598,1.0,1,-1.0,-0.0018219672980194445,0.0003,0.012799725,-1.678060531616211,0.01754415820352733,1.0066381257782993e-06,820,0.2,0.17340494791666666,-1.2989523755386472,0.3615402579307556,-0.012562794610857964
2064384,793,2600,1.0,1,-1.0,-0.0019090136259668118,0.0003,0.010658759,-2.1494500637054443,0.016745435576885938,1.087287291589208e-06,830,0.2,0.15437825520833334,-1.3089043672817449,0.3633281886577606,-0.010345513932406902
2088960,782,2668,1.0,1,-1.0,-0.0008809430783003336,0.0003,0.011798412,-2.3373284339904785,0.01582147398032248,1.2100656775787532e-06,840,0.2,0.15643310546875,-1.3277338533041378,0.3664652705192566,-0.006907452363520861
