rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/entropy_loss,rollout/ep_rew_wrapped_mean,train/learning_rate,train/value_loss,train/std,train/clip_fraction,train/n_updates,train/approx_kl
15.6,-15.6,7987200,66,120667,1,0.025742290541529655,0.037607636637524894,0.9990129735087976,0.2,3.914830418427785,-675.3666201627254,0.0003,0.0012053247800925722,0.09380798041820526,0.5819010416666667,3240,0.12916185
15.59,-15.59,8011776,65,121817,1,0.022752143442630768,0.03918322684924836,0.9991970712435432,0.2,3.9051504033928115,-670.3629314517975,0.0003,0.0010670942486096162,0.09424197673797607,0.57816162109375,3250,0.16716333
15.6,-15.6,8036352,65,122938,1,0.050865642726421356,0.038365760656476296,0.9988129010889679,0.2,3.88523936017106,-670.6904504692554,0.0003,0.0015240828872568576,0.09445503354072571,0.5772298177083334,3260,0.20015033
15.74,-15.74,8060928,65,123874,1,0.10394546389579773,0.038242331982110044,0.9986829074332491,0.2,3.8859690858672065,-671.8790990567207,0.0003,0.0015543366022408615,0.09419550746679306,0.5962320963541666,3270,0.96460056
15.82,-15.82,8085504,65,123489,1,-0.05950850620865822,-0.015495240874103425,0.9933709688484669,0.2,3.980803412509461,-681.2074196767807,0.0003,0.0019426551684622003,0.09193271398544312,0.5708740234375,3280,2.147558
15.72,-15.72,8110080,67,120913,1,0.11505202949047089,0.02165060894561369,0.9893214022740722,0.2,4.042739031277597,-682.515152837038,0.0003,0.003575807679923552,0.09083915501832962,0.5910400390625,3290,0.90395707
15.74,-15.74,8134656,66,121510,1,0.022802723571658134,0.04108693751186365,0.9938136674463749,0.2,4.046300385395686,-669.8567622685432,0.0003,0.0022586264269421007,0.09094662964344025,0.582080078125,3300,0.17961568
15.69,-15.69,8159232,66,122214,1,0.033156413584947586,0.03355726301961113,0.9984356962377205,0.2,4.05334582614402,-676.361876937747,0.0003,0.0018884477133497058,0.09082189947366714,0.574609375,3310,0.11146008
15.66,-15.66,8183808,67,121707,1,0.0419040210545063,0.03671126805444753,0.9986349418759346,0.2,4.047202359264095,-673.8971354174614,0.0003,0.0017582174115508072,0.0910475105047226,0.6000895182291667,3320,0.30536437
15.67,-15.67,8208384,67,121753,1,0.017012402415275574,0.03869876791735199,0.9973838531877846,0.2,4.039902238175273,-670.781876360178,0.0003,0.003019596453896156,0.09106173366308212,0.6071451822916667,3330,0.17958315
15.66,-15.66,8232960,67,122750,1,0.020702479407191277,0.032950176840252726,0.9973388817161322,0.2,4.018013405303161,-671.7818527126312,0.0003,0.0029383494325126475,0.09162943065166473,0.5810709635416667,3340,0.11947664
15.6,-15.6,8257536,67,121997,1,-0.04404929280281067,0.03854380785426959,0.9969686090480536,0.2,4.0171869701395435,-674.0266794145107,0.0003,0.003558467901439144,0.09176450967788696,0.5873331705729167,3350,0.12289834
15.65,-15.65,8282112,66,123995,1,0.00994621217250824,0.033365501484028455,0.996937696589157,0.2,3.9884319219738247,-663.1366704344749,0.0003,0.0034067707078217304,0.09179080277681351,0.583203125,3360,0.12825648
15.6,-15.6,8306688,68,121932,1,0.06141959875822067,0.03658692966261393,0.9973871510010213,0.2,4.003560888022184,-661.7004890072345,0.0003,0.0030328418715119673,0.0916280671954155,0.5809529622395834,3370,0.12216931
15.62,-15.62,8331264,67,124321,1,0.014835402369499207,0.033745541087531215,0.998073423630558,0.2,3.994601364557942,-661.5984223508835,0.0003,0.0023600572400482634,0.09187384694814682,0.5718302408854167,3380,0.097583406
