raw/disc/disc_proportion_expert_pred,raw/disc/global_step,raw/disc/disc_acc,raw/disc/n_generated,raw/disc/n_expert,raw/disc/disc_loss,raw/disc/disc_entropy,raw/disc/disc_acc_expert,raw/disc/disc_acc_gen,raw/disc/disc_proportion_expert_true
0.5,198509,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198510,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198510,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198511,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198511,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198512,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198512,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198513,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198513,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198514,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198514,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198515,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198515,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198516,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198516,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198517,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198517,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198518,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198518,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198519,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198519,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198520,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198520,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198521,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198521,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198522,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198522,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198523,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198523,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198524,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198524,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198525,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198525,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198526,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198526,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198527,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198527,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198528,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198528,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198529,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198529,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198530,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198530,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198531,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
